"bNumber"	"gene"	"function"
"b2239"	"glpQ"	"periplasmic glycerophosphodiester phosphodiesterase"
"b2240"	"glpT"	"sn-glycerol-3-phosphate transporter"
"b2241"	"glpA"	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding"
"b2242"	"glpB"	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit"
"b2243"	"glpC"	"sn-glycerol-3-phosphate dehydrogenase (anaerobic), small Fe4S subunit"
"b2244"	"yfaD"	"conserved protein"
"b4543"	"ypaA"	"predicted protein (pseudogene)"
"b2245"	"yfaU"	"predicted 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
"b2246"	"yfaV"	"predicted transporter"
"b2247"	"yfaW"	"predicted enolase"
"b2248"	"yfaX"	"predicted DNA-binding transcriptional regulator"
"b2249"	"yfaY"	"conserved protein"
"b2250"	"yfaZ"	"predicted outer membrane porin protein"
"b2251"	"yfaO"	"nucleosidnucleoside triphosphatase; preferring pyrimidine deoxynucleoside triphosphates"
"b2252"	"ais"	"conserved protein"
"b2253"	"yfbE"	"uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent"
"b2254"	"yfbF"	"undecaprenyl phosphate-L-Ara4FN transferase"
"b2255"	"yfbG"	"fused UDP-L-Ara4N formyltransferase -!- UDP-GlcA C-4'-decarboxylase"
"b2256"	"yfbH"	"conserved protein"
"b2257"	"arnT"	"4-amino-4-deoxy-L-arabinose transferase"
"b4544"	"yfbW"	"conserved protein"
"b2258"	"yfbJ"	"predicted inner membrane protein"
"b2259"	"pmrD"	"polymyxin resistance protein B"
"b2260"	"menE"	"o-succinylbenzoate-CoA ligase"
"b2261"	"menC"	"o-succinylbenzoyl-CoA synthase"
"b2262"	"menB"	"dihydroxynaphthoic acid synthetase"
"b2263"	"yfbB"	"predicted peptidase"
"b2264"	"menD"	"bifunctional 2-oxoglutarate decarboxylase -!- SHCHC synthase"
"b2265"	"menF"	"isochorismate synthase 2"
"b2266"	"elaB"	"conserved protein"
"b2267"	"elaA"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b2268"	"elaC"	"binuclear zinc phosphodiesterase"
"b2269"	"elaD"	"protease with deubiquitinating activity"
"b2270"	"yfbK"	"conserved protein"
"b2271"	"yfbL"	"predicted peptidase"
"b2272"	"yfbM"	"predicted protein"
"b2273"	"yfbN"	"predicted protein"
"b2274"	"yfbO"	"predicted protein"
"b2275"	"yfbP"	"predicted protein"
"b2276"	"nuoN"	"NADH:ubiquinone oxidoreductase, membrane subunit N"
"b2277"	"nuoM"	"NADH:ubiquinone oxidoreductase, membrane subunit M"
"b2278"	"nuoL"	"NADH:ubiquinone oxidoreductase, membrane subunit L"
"b2279"	"nuoK"	"NADH:ubiquinone oxidoreductase, membrane subunit K"
"b2280"	"nuoJ"	"NADH:ubiquinone oxidoreductase, membrane subunit J"
"b2281"	"nuoI"	"NADH:ubiquinone oxidoreductase, chain I, FeS"
"b2282"	"nuoH"	"NADH:ubiquinone oxidoreductase, membrane subunit H"
"b2283"	"nuoG"	"NADH:ubiquinone oxidoreductase, chain G"
"b2284"	"nuoF"	"NADH:ubiquinone oxidoreductase, chain F"
"b2285"	"nuoE"	"NADH:ubiquinone oxidoreductase, chain E"
"b2286"	"nuoC"	"NADH:ubiquinone oxidoreductase, chain C,D"
"b2287"	"nuoB"	"NADH:ubiquinone oxidoreductase I, chain B, FeS subunit"
"b2288"	"nuoA"	"NADH:ubiquinone oxidoreductase, membrane subunit A"
"b2289"	"lrhA"	"DNA-binding transcriptional repressor"
"b2290"	"yfbQ"	"predicted aminotransferase"
"b2291"	"yfbR"	"deoxyribonucleoside 5'-monophosphatase"
"b2292"	"yfbS"	"predicted transporter"
"b2293"	"yfbT"	"predicted hydrolase or phosphatase"
"b2294"	"yfbU"	"conserved protein"
"b2295"	"yfbV"	"conserved inner membrane protein"
"b2296"	"ackA"	"acetate kinase A and propionate kinase 2"
"b2297"	"pta"	"phosphate acetyltransferase"
"b2298"	"yfcC"	"predicted inner membrane protein"
"b2299"	"yfcD"	"predicted NUDIX hydrolase"
"b2300"	"yfcE"	"Mn2+ dependent phosphodiesterase"
"b2301"	"yfcF"	"glutathione S-transferase"
"b2302"	"yfcG"	"glutathione S-transferase"
"b2303"	"folX"	"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase"
"b2304"	"yfcH"	"conserved protein with NAD(P)-binding Rossmann-fold domain"
"b2305"	"yfcI"	"conserved protein"
"b2306"	"hisP"	"histidine/lysine/arginine/ornithine transporter subunit -!- ATP-binding component of ABC superfamily"
"b2307"	"hisM"	"histidine/lysine/arginine/ornithine transporter subunit -!- membrane component of ABC superfamily"
"b2308"	"hisQ"	"histidine/lysine/arginine/ornithine transporter subunit -!- membrane component of ABC superfamily"
"b2309"	"hisJ"	"histidine/lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b2310"	"argT"	"lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b2311"	"ubiX"	"3-octaprenyl-4-hydroxybenzoate carboxy-lyase"
"b2312"	"purF"	"amidophosphoribosyltransferase"
"b2313"	"cvpA"	"membrane protein required for colicin V production"
"b2314"	"dedD"	"conserved protein"
"b2315"	"folC"	"bifunctional folylpolyglutamate synthase -!- dihydrofolate synthase"
"b2316"	"accD"	"acetylCoA carboxylase, beta (carboxyltranferase) subunit"
"b2317"	"dedA"	"conserved inner membrane protein"
"b2318"	"truA"	"pseudouridylate synthase I"
"b2319"	"usg"	"predicted semialdehyde dehydrogenase"
"b2320"	"pdxB"	"erythronate-4-phosphate dehydrogenase"
"b2321"	"flk"	"predicted flagella assembly protein"
"b2322"	"yfcJ"	"predicted transporter"
"b2323"	"fabB"	"3-oxoacyl-[acyl-carrier-protein] synthase I"
"b2324"	"trmC"	"fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase -!- FAD-dependent demodification enzyme"
"b2325"	"yfcL"	"predicted protein"
"b2326"	"yfcM"	"conserved protein"
"b2327"	"yfcA"	"conserved inner membrane protein"
"b2328"	"mepA"	"murein DD-endopeptidase"
"b2329"	"aroC"	"chorismate synthase"
"b2330"	"prmB"	"N5-glutamine methyltransferase"
"b2331"	"yfcN"	"conserved protein"
"b2332"	"yfcO"	"predicted protein"
"b2333"	"yfcP"	"predicted fimbrial-like adhesin protein"
"b2334"	"yfcQ"	"predicted fimbrial-like adhesin protein"
"b2335"	"yfcR"	"predicted fimbrial-like adhesin protein"
"b2336"	"yfcS"	"predicted periplasmic pilus chaperone"
"b2337"	"yfcT"	"predicted outer membrane export usher protein"
"b2338"	"yfcU"	"predicted export usher protein"
"b2339"	"yfcV"	"predicted fimbrial-like adhesin protein"
"b2340"	"sixA"	"phosphohistidine phosphatase"
"b2341"	"yfcX"	"fused enoyl-CoA hydratase-!-epimerase-!-isomerase -!- 3-hydroxyacyl-CoA dehydrogenase, subunit of anaerobic fatty acid oxidation complex"
"b2342"	"yfcY"	"beta-ketoacyl-CoA thiolase, anaerobic, subunit"
"b2343"	"yfcZ"	"conserved protein"
"b2344"	"fadL"	"long-chain fatty acid outer membrane transporter"
"b2345"	"yfdF"	"predicted protein"
"b2346"	"vacJ"	"predicted lipoprotein"
"b2347"	"yfdC"	"predicted inner membrane protein"
"b2348"	"argW"	"tRNA-Arg(CCU) (Arginine tRNA5)"
"b2349"	"intS"	"CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase"
"b2350"	"yfdG"	"CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)"
"b2351"	"yfdH"	"CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase"
"b2352"	"yfdI"	"CPS-53 (KpLE1) prophage; predicted inner membrane protein"
"b2353"	"tfaS"	"CPS-53 (KpLE1) prophage; tail fiber assembly protein fragment (pseudogene)"
"b2354"	"yfdK"	"CPS-53 (KpLE1) prophage; conserved protein"
"b2355"	"yfdL"	"CPS-53 (KpLE1) prophage; conserved protein"
"b2356"	"yfdM"	"CPS-53 (KpLE1) prophage; predicted methyltransferase"
"b2357"	"yfdN"	"CPS-53 (KpLE1) prophage; predicted protein"
"b2358"	"yfdO"	"CPS-53 (KpLE1) prophage; predicted defective phage replication protein O"
"b2359"	"yfdP"	"CPS-53 (KpLE1) prophage; predicted protein"
"b2360"	"yfdQ"	"CPS-53 (KpLE1) prophage; predicted protein"
"b2361"	"yfdR"	"CPS-53 (KpLE1) prophage; conserved protein"
"b2362"	"yfdS"	"CPS-53 (KpLE1) prophage; predicted protein"
"b2363"	"yfdT"	"CPS-53 (KpLE1) prophage; predicted protein"
"b4545"	"ypdJ"	"predicted protein"
"b4501"	"torI"	"response regulator inhibitor for tor operon"
"b2364"	"dsdC"	"DNA-binding transcriptional dual regulator"
"b2365"	"dsdX"	"D-serine-specific permease"
"b2366"	"dsdA"	"D-serine ammonia-lyase"
"b2367"	"emrY"	"predicted multidrug efflux system"
"b2368"	"emrK"	"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component"
"b2369"	"evgA"	"DNA-binding response regulator in two-component regulatory system with EvgS"
"b2370"	"evgS"	"hybrid sensory histidine kinase in two-component regulatory system with EvgA"
"b2371"	"yfdE"	"predicted CoA-transferase"
"b2372"	"yfdV"	"predicted transporter"
"b2373"	"oxc"	"predicted oxalyl-CoA decarboxylase"
"b2374"	"frc"	"formyl-CoA transferase"
"b2375"	"yfdX"	"predicted protein"
"b2376"	"ypdI"	"predicted lipoprotein involved in colanic acid biosynthesis"
"b2377"	"yfdY"	"predicted inner membrane protein"
"b2378"	"ddg"	"palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase"
"b2379"	"yfdZ"	"predicted aminotransferase, PLP-dependent"
"b2380"	"ypdA"	"predicted sensory kinase in two-component system with YpdB"
"b2381"	"ypdB"	"predicted response regulator in two-component system with YpdA"
"b2382"	"ypdC"	"predicted DNA-binding protein"
"b2383"	"ypdD"	"fused predicted PTS enzymes Hpr component -!- enzyme I component -!- enzyme IIA component"
"b2384"	"ypdE"	"metalloaminopeptidase"
"b2385"	"ypdF"	"metalloenzyme with Xaa-Pro aminopeptidase activity"
"b2386"	"ypdG"	"predicted enzyme IIC component of PTS"
"b2387"	"ypdH"	"predicted enzyme IIB component of PTS"
"b2388"	"glk"	"glucokinase"
"b2389"	"yfeO"	"predicted ion channel protein"
"b2390"	"ypeC"	"conserved protein"
"b2392"	"mntH"	"manganese/divalent cation transporter"
"b2393"	"nupC"	"nucleoside (except guanosine) transporter"
"b2395"	"yfeA"	"predicted diguanylate cyclase with contains EAL, GGDEF domains"
"b2396"	"alaX"	"tRNA-Ala(GGC) (Alanine tRNA 2)"
"b2397"	"alaW"	"tRNA-Ala(GGC), (Alanine tRNA 2)"
"b2398"	"yfeC"	"predicted DNA-binding transcriptional regulator"
"b2399"	"yfeD"	"predicted DNA-binding transcriptional regulator"
"b2400"	"gltX"	"glutamyl-tRNA synthetase"
"b2401"	"valU"	"tRNA-Val(UAC) (Valine tRNA1)"
"b2402"	"valX"	"tRNA-Val(UAC), (Valine tRNA1)"
"b2403"	"valY"	"tRNA-Val(UAC) (Valine tRNA1)"
"b2404"	"lysV"	"tRNA-Lys(UUU) (Lysine tRNA)"
"b2405"	"xapR"	"DNA-binding transcriptional activator"
"b2406"	"xapB"	"xanthosine transporter"
"b2407"	"xapA"	"purine nucleoside phosphorylase  II"
"b2408"	"yfeN"	"conserved outer membrane protein"
"b2409"	"yfeR"	"predicted DNA-binding transcriptional regulator"
"b2410"	"yfeH"	"predicted inner membrane protein"
"b4546"	"ypeB"	"predicted protein"
"b2411"	"ligA"	"DNA ligase, NAD(+)-dependent"
"b2412"	"zipA"	"cell division protein involved in Z ring assembly"
"b2413"	"cysZ"	"predicted inner membrane protein"
"b2414"	"cysK"	"cysteine synthase A, O-acetylserine sulfhydrolase A isozyme"
"b2415"	"ptsH"	"phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)"
"b2416"	"ptsI"	"PEP-protein phosphotransferase of PTS system (enzyme I)"
"b2417"	"crr"	"glucose-specific enzyme IIA component of PTS"
"b2418"	"pdxK"	"pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase"
"b2419"	"yfeK"	"predicted protein"
"b2420"	"yfeS"	"conserved protein"
"b2421"	"cysM"	"cysteine synthase B, O-acetylserine sulfhydrolase B isozyme"
"b2422"	"cysA"	"sulfate/thiosulfate transporter subunit -!- ATP-binding component of ABC superfamily"
"b2423"	"cysW"	"sulfate/thiosulfate transporter subunit -!- membrane component of ABC superfamily"
"b2424"	"cysU"	"sulfate/thiosulfate transporter subunit -!- membrane component of ABC superfamily"
"b2425"	"cysP"	"thiosulfate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b2426"	"ucpA"	"predicted oxidoredutase, sulfate metabolism protein, SDR family"
"b2427"	"yfeT"	"predicted DNA-binding transcriptional regulator"
"b2428"	"murQ"	"N-acetylmuramic acid etherase"
"b2429"	"murP"	"fused predicted enzyme IIBC components of PTS"
"b2430"	"yfeW"	"predicted periplasmic esterase"
"b2431"	"yfeX"	"conserved protein"
"b2432"	"yfeY"	"predicted protein"
"b2433"	"yfeZ"	"predicted inner membrane protein"
"b2434"	"ypeA"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b2435"	"amiA"	"N-acetylmuramoyl-l-alanine amidase I"
"b2436"	"hemF"	"coproporphyrinogen III oxidase"
"b2437"	"yfeG"	"predicted DNA-binding transcriptional regulator"
"b2438"	"yffI"	"predicted carboxysome structural protein with predicted role in ethanolamine utilization"
"b2439"	"eutL"	"predicted carboxysome structural protein with predicted role in ethanolamine utilization"
"b2440"	"eutC"	"ethanolamine ammonia-lyase, small subunit (light chain)"
"b2441"	"eutB"	"ethanolamine ammonia-lyase, large subunit, heavy chain"
"b2442"	"intZ"	"CPZ-55 prophage; predicted integrase"
"b2443"	"yffL"	"CPZ-55 prophage; predicted protein"
"b2444"	"yffM"	"CPZ-55 prophage; predicted protein"
"b2445"	"yffN"	"CPZ-55 prophage; predicted protein"
"b2446"	"yffO"	"CPZ-55 prophage; predicted protein"
"b2447"	"yffP"	"CPZ-55 prophage; predicted protein"
"b2448"	"yffQ"	"CPZ-55 prophage; predicted protein"
"b2449"	"yffR"	"CPZ-55 prophage; predicted protein"
"b2450"	"yffS"	"CPZ-55 prophage; predicted protein"
"b2451"	"eutA"	"reactivating factor for ethanolamine ammonia lyase"
"b2452"	"eutH"	"predicted inner membrane protein"
"b2453"	"eutG"	"predicted alcohol dehydrogenase in ethanolamine utilization"
"b2454"	"eutJ"	"predicted chaperonin, ethanolamine utilization protein"
"b2455"	"eutE"	"predicted aldehyde dehydrogenase, ethanolamine utilization protein"
"b2456"	"cchB"	"predicted carboxysome structural protein, ethanolamine utilization protein"
"b2457"	"cchA"	"predicted carboxysome structural protein, ethanolamine utilization protein"
"b2458"	"eutI"	"predicted phosphotransacetylase subunit"
"b2459"	"eutT"	"predicted ATP:cob(I)alamin adenosyltransferase"
"b2460"	"eutQ"	"conserved protein"
"b2461"	"eutP"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b2462"	"ypfE"	"predicted carboxysome structural protein with predicted role in ethanol utilization"
"b2463"	"maeB"	"fused predicted malic enzyme  -!- predicted phosphotransacetylase"
"b2464"	"talA"	"transaldolase A"
"b2465"	"tktB"	"transketolase 2, thiamin-binding"
"b2466"	"ypfG"	"predicted protein"
"b2467"	"yffH"	"GDP-mannose pyrophosphatase"
"b2468"	"aegA"	"fused predicted FeS binding subunit -!- predicted NAD/FAD-binding similar to GltD"
"b2469"	"narQ"	"sensory histidine kinase in two-component regulatory system with NarP (NarL)"
"b2470"	"acrD"	"aminoglycoside/multidrug efflux system"
"b2471"	"yffB"	"conserved protein"
"b2472"	"dapE"	"N-succinyl-diaminopimelate deacylase"
"b4547"	"ypfN"	"predicted protein"
"b2473"	"ypfH"	"predicted hydrolase"
"b2474"	"ypfI"	"predicted hydrolase"
"b2475"	"ypfJ"	"conserved protein"
"b2476"	"purC"	"phosphoribosylaminoimidazole-succinocarboxamide synthetase"
"b2477"	"nlpB"	"lipoprotein"
"b2478"	"dapA"	"dihydrodipicolinate synthase"
"b2479"	"gcvR"	"DNA-binding transcriptional repressor, regulatory protein accessory to GcvA"
"b2480"	"bcp"	"thiol peroxidase, thioredoxin-dependent"
"b2481"	"hyfA"	"hydrogenase 4, 4Fe-4S subunit"
"b2482"	"hyfB"	"hydrogenase 4, membrane subunit"
"b2483"	"hyfC"	"hydrogenase 4, membrane subunit"
"b2484"	"hyfD"	"hydrogenase 4, membrane subunit"
"b2485"	"hyfE"	"hydrogenase 4, membrane subunit"
"b2486"	"hyfF"	"hydrogenase 4, membrane subunit"
"b2487"	"hyfG"	"hydrogenase 4, FeS subunit"
"b2488"	"hyfH"	"hydrogenase 4, Fe-S subunit"
"b2489"	"hyfI"	"hydrogenase 4, FeS subunit"
"b2490"	"hyfJ"	"predicted processing element hydrogenase 4"
"b2491"	"hyfR"	"DNA-binding transcriptional activator, formate sensing"
"b2492"	"focB"	"predicted formate transporter"
"b2493"	"yfgO"	"predicted inner membrane protein"
"b2494"	"yfgC"	"predicted peptidase"
"b2495"	"yfgD"	"predicted oxidoreductase"
"b2496"	"hda"	"ATPase regulatory factor involved in DnaA inactivation"
"b2497"	"uraA"	"uracil transporter"
"b2498"	"upp"	"uracil phosphoribosyltransferase"
"b2499"	"purM"	"phosphoribosylaminoimidazole synthetase"
"b2500"	"purN"	"phosphoribosylglycinamide formyltransferase 1"
"b2501"	"ppk"	"polyphosphate kinase, component of RNA degradosome"
"b2502"	"ppx"	"exopolyphosphatase"
"b2503"	"yfgF"	"predicted inner membrane protein with  EAL domain"
"b2504"	"yfgG"	"predicted protein"
"b2505"	"yfgH"	"predicted outer membrane lipoprotein"
"b2506"	"yfgI"	"conserved protein"
"b2507"	"guaA"	"GMP synthetase (glutamine aminotransferase)"
"b2508"	"guaB"	"IMP dehydrogenase"
"b2509"	"xseA"	"exonuclease VII, large subunit"
"b2510"	"yfgJ"	"predicted protein"
"b2511"	"der"	"50S ribosome-associated factor, involved in ribosome biogenesis"
"b2512"	"yfgL"	"protein assembly complex, lipoprotein component"
"b2513"	"yfgM"	"conserved protein"
"b2514"	"hisS"	"histidyl tRNA synthetase"
"b2515"	"ispG"	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase"
"b2516"	"yfgA"	"conserved protein"
"b2517"	"yfgB"	"predicted enzyme"
"b2518"	"ndk"	"multifunctional nucleoside diphosphate kinase -!- apyrimidinic endonuclease -!- 3'-phosphodiesterase"
"b2519"	"pbpC"	"fused transglycosylase -!- transpeptidase"
"b2520"	"yfhM"	"conserved protein"
"b2521"	"sseA"	"3-mercaptopyruvate sulfurtransferase"
"b4440"	"ryfA"	"small RNA"
"b2522"	"sseB"	"rhodanase-like enzyme, sulfur transfer from thiosulfate"
"b2523"	"pepB"	"aminopeptidase B"
"b2524"	"yfhJ"	"conserved protein"
"b2525"	"fdx"	"[2Fe-2S] ferredoxin"
"b2526"	"hscA"	"DnaK-like molecular chaperone specific for IscU"
"b2527"	"hscB"	"DnaJ-like molecular chaperone specific for IscU"
"b2528"	"iscA"	"FeS cluster assembly protein"
"b2529"	"iscU"	"scaffold protein"
"b2530"	"iscS"	"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent"
"b2531"	"iscR"	"DNA-binding transcriptional activator"
"b2532"	"trmJ"	"tRNA:Cm32/Um32 methyltransferase"
"b2533"	"suhB"	"inositol monophosphatase"
"b2534"	"yfhR"	"predicted peptidase"
"b2535"	"csiE"	"stationary phase inducible protein"
"b2536"	"hcaT"	"predicted 3-phenylpropionic transporter"
"b2537"	"hcaR"	"DNA-binding transcriptional regulator"
"b2538"	"hcaE"	"3-phenylpropionate dioxygenase, large (alpha) subunit"
"b2539"	"hcaF"	"3-phenylpropionate dioxygenase, small (beta) subunit"
"b2540"	"hcaC"	"3-phenylpropionate dioxygenase, predicted ferredoxin subunit"
"b2541"	"hcaB"	"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase, SDR family"
"b2542"	"hcaD"	"phenylpropionate dioxygenase, ferredoxin reductase subunit"
"b2543"	"yphA"	"predicted inner membrane protein"
"b2544"	"yphB"	"conserved protein"
"b2545"	"yphC"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b2546"	"yphD"	"predicted sugar transporter subunit -!- membrane component of ABC superfamily"
"b2547"	"yphE"	"fused predicted sugar transporter subunits -!- ATP-binding components of ABC superfamily"
"b2548"	"yphF"	"predicted sugar transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b2549"	"yphG"	"conserved protein"
"b2550"	"yphH"	"predicted DNA-binding transcriptional regulator"
"b2551"	"glyA"	"serine hydroxymethyltransferase"
"b2552"	"hmp"	"fused nitric oxide dioxygenase -!- dihydropteridine reductase 2"
"b2553"	"glnB"	"regulatory protein P-II for glutamine synthetase"
"b2554"	"yfhA"	"predicted DNA-binding response regulator in two-component system"
"b2555"	"yfhG"	"conserved protein"
"b2556"	"yfhK"	"predicted sensory kinase in two-component system"
"b4441"	"tke1"	"small RNA"
"b2557"	"purL"	"phosphoribosylformyl-glycineamide synthetase"
"b2558"	"yfhD"	"predicted transglycosylase"
"b2559"	"tadA"	"tRNA-specific adenosine deaminase"
"b2560"	"yfhB"	"conserved protein"
"b2561"	"yfhH"	"predicted DNA-binding transcriptional regulator"
"b2562"	"yfhL"	"predicted 4Fe-4S cluster-containing protein"
"b2563"	"acpS"	"holo-[acyl-carrier-protein] synthase 1"
"b2564"	"pdxJ"	"pyridoxine 5'-phosphate synthase"
"b2565"	"recO"	"gap repair protein"
"b2566"	"era"	"membrane-associated, 16S rRNA-binding GTPase"
"b2567"	"rnc"	"RNase III"
"b2568"	"lepB"	"leader peptidase (signal peptidase I)"
"b2569"	"lepA"	"elongation factor 4"
"b2570"	"rseC"	"RseC protein involved in reduction of the SoxR iron-sulfur cluster"
"b2571"	"rseB"	"anti-sigma factor"
"b2572"	"rseA"	"anti-sigma factor"
"b2573"	"rpoE"	"RNA polymerase, sigma 24 (sigma E) factor"
"b2574"	"nadB"	"quinolinate synthase, L-aspartate oxidase (B protein) subunit"
"b2575"	"yfiC"	"predicted methyltransferase"
"b2576"	"srmB"	"ATP-dependent RNA helicase"
"b2577"	"yfiE"	"predicted DNA-binding transcriptional regulator"
"b2578"	"yfiK"	"neutral amino-acid efflux system"
"b2579"	"yfiD"	"pyruvate formate lyase subunit"
"b2580"	"ung"	"uracil-DNA-glycosylase"
"b2581"	"yfiF"	"predicted methyltransferase"
"b2582"	"trxC"	"thioredoxin 2"
"b2583"	"yfiP"	"conserved protein"
"b2584"	"yfiQ"	"fused predicted acyl-CoA synthetase NAD(P)-binding subunit -!- ATP-binding subunit"
"b2585"	"pssA"	"phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)"
"b2586"	"yfiM"	"predicted protein"
"b2587"	"kgtP"	"alpha-ketoglutarate transporter"
"b2588"	"rrfG"	"5S rRNA (rrfG)"
"b2589"	"rrlG"	"23S rRNA (rrlG)"
"b2590"	"gltW"	"tRNA-Glu(UUC) (Glutamate tRNA2)"
"b2591"	"rrsG"	"16S rRNA (rrnG)"
"b2592"	"clpB"	"protein disaggregation chaperone"
"b2593"	"yfiH"	"conserved protein"
"b2594"	"rluD"	"23S rRNA pseudouridine synthase"
"b2595"	"yfiO"	"outer membrane lipoprotein"
"b2597"	"yfiA"	"cold shock protein associated with 30S ribosomal subunit"
"b2598"	"pheL"	"pheA gene leader peptide"
"b2599"	"pheA"	"fused chorismate mutase P -!- prephenate dehydratase"
"b2600"	"tyrA"	"fused chorismate mutase T -!- prephenate dehydrogenase"
"b2601"	"aroF"	"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase, tyrosine-repressible"
"b2602"	"yfiL"	"predicted protein"
"b2603"	"yfiR"	"predicted protein"
"b2604"	"yfiN"	"predicted diguanylate cyclase"
"b2605"	"yfiB"	"predicted outer membrane lipoprotein"
"b2606"	"rplS"	"50S ribosomal subunit protein L19"
"b2607"	"trmD"	"tRNA (guanine-1-)-methyltransferase"
"b2608"	"rimM"	"16S rRNA processing protein"
"b2609"	"rpsP"	"30S ribosomal subunit protein S16"
"b2610"	"ffh"	"Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)"
"b2611"	"ypjD"	"predicted inner membrane protein"
"b4461"	"yfjD"	"predicted inner membrane protein"
"b2614"	"grpE"	"heat shock protein"
"b2615"	"yfjB"	"NAD kinase"
"b2616"	"recN"	"recombination and repair protein"
"b2617"	"smpA"	"small membrane lipoprotein"
"b2618"	"yfjF"	"predicted protein"
"b2619"	"yfjG"	"conserved protein"
"b2620"	"smpB"	"trans-translation protein"
"b2621"	"ssrA"	"10Sa RNA SsrA (tmRNA)"
"b2622"	"intA"	"CP4-57 prophage; integrase"
"b2623"	"yfjH"	"CP4-57 prophage; predicted protein"
"b2624"	"alpA"	"CP4-57 prophage; DNA-binding transcriptional activator"
"b2625"	"yfjI"	"CP4-57 prophage; predicted protein"
"b2626"	"yfjJ"	"CP4-57 prophage; predicted protein"
"b2627"	"yfjK"	"CP4-57 prophage; conserved protein"
"b2628"	"yfjL"	"CP4-57 prophage; predicted protein"
"b2629"	"yfjM"	"CP4-57 prophage; predicted protein"
"b2630"	"rnlA"	"CP4-57 prophage; endoribonuclease RNase LS"
"b2631"	"yfjO"	"CP4-57 prophage; predicted protein"
"b2632"	"yfjP"	"CP4-57 prophage; predicted GTP-binding protein"
"b2633"	"yfjQ"	"CP4-57 prophage; predicted protein"
"b2634"	"yfjR"	"CP4-57 prophage; predicted DNA-binding transcriptional regulator"
"b2635"	"ypjK"	"CP4-57 prophage; predicted inner membrane protein"
"b2636"	"yfjS"	"CP4-57 prophage; predicted protein"
"b2637"	"yfjT"	"CP4-57 prophage; predicted protein"
"b2638"	"yfjU"	"CP4-57 prophage; conserved protein"
"b2639"	"ypjL"	"CP4-57 prophage; predicted inner membrane protein"
"b2640"	"yfjV"	"CP4-57 prophage; predicted protein"
"b2641"	"ypjM"	"CP4-57 prophage; predicted protein (pseudogene)"
"b2642"	"yfjW"	"CP4-57 prophage; predicted inner membrane protein"
"b2643"	"yfjX"	"CP4-57 prophage; predicted antirestriction protein"
"b2644"	"yfjY"	"CP4-57 prophage; predicted DNA repair protein"
"b4548"	"ypjJ"	"predicted protein"
"b2645"	"yfjZ"	"CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system"
"b2646"	"ypjF"	"CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system"
"b2647"	"ypjA"	"adhesin-like autotransporter"
"b2648"	"pinH"	"predicted invertase fragment (pseudogene)"
"b2649"	"ypjB"	"predicted protein"
"b2650"	"ypjC"	"predicted protein"
"b2652"	"ileY"	"tRNA-Ile(CAU) (Isoleucine tRNA2 variant)"
"b2654"	"ygaQ"	"predicted protein"
"b4462"	"ygaR"	"predicted protein"
"b2657"	"yqaC"	"conserved protein (pseudogene)"
"b2658"	"yqaD"	"conserved protein"
"b2659"	"ygaT"	"predicted protein"
"b2660"	"ygaF"	"predicted enzyme"
"b2661"	"gabD"	"succinate-semialdehyde dehydrogenase I, NADP-dependent"
"b2662"	"gabT"	"4-aminobutyrate aminotransferase, PLP-dependent"
"b2663"	"gabP"	"gamma-aminobutyrate transporter"
"b2664"	"csiR"	"DNA-binding transcriptional dual regulator"
"b2665"	"ygaU"	"predicted protein"
"b2666"	"yqaE"	"predicted membrane protein"
